,element,Tc,Tc_mean
10320,U1Pd1.98Al3,1.2,1.2
10321,U1Pd2Al3.03,0.61,0.61
10322,Fe2As2Ca5Mg0.8Ti3.2O9.8,39.0,39.0
10323,Fe2As2Sr4Mg0.9Ti1.1O6,23.5,23.5
10324,Fe2As2Sr4Mg0.8Ti1.2O6,26.0,26.0
10325,Fe2As2Sr4Mg0.4Ti1.6O6,28.0,28.0
10326,Fe2As2Sr4Mg1Ti1O6,6.0,6.0
10327,Fe1.8Co0.2As2Sr4Mg1Ti1O6,24.0,24.0
10328,Fe1.7Co0.3As2Sr4Mg1Ti1O6,16.0,16.0
10329,Fe2P2Sr4Sc2O6,17.0,15.25
10330,Cu0.29Bi2Se3,3.2,3.2
10331,Bi1Cu0.9S1O1,5.8,5.8
10332,Eu1Fe2As1.68P0.32,22.0,22.0
10333,Eu1Fe2As1.6P0.4,29.0,29.0
10334,Eu1Fe2As1.46P0.54,26.0,26.0
10335,K0.8Fe1.5Se2,32.4,32.4
10336,K0.8Fe2Se1.96,29.5,29.5
10337,Eu1Fe1As1.64P0.36,28.0,28.0
10338,Ca1Fe1.922Co0.078As2,21.2,21.2
10339,Ca1Fe1.898Co0.102As2,19.9,19.2
10340,Ca1Fe1.888Co0.112As2,16.5,17.75
10341,Ca1Fe1.874Co0.126As2,14.8,14.8
10342,Ca1Fe1.9Co0.1As2,17.7,17.7
10343,Ca1Fe1.85Co0.15As2,15.2,15.2
10344,Ca1Fe1.82Co0.18As2,15.7,15.7
10345,Ca1Fe1.8Co0.2As2,17.1,17.1
10346,Ca1Fe1.75Co0.25As2,14.1,14.1
10347,Ca1Fe1.73Co0.27As2,12.0,12.0
10348,Ca1Fe1.7Co0.3As2,10.8,10.8
10349,Ca1Fe1.6Co0.4As2,2.0,2.0
10350,Sr1Fe1.916Co0.084As2,2.0,2.0
10351,Sr1Fe1.888Co0.112As2,2.0,2.0
10352,Sr1Fe1.86Co0.14As2,7.2,7.2
10353,Sr1Fe1.826Co0.174As2,9.5,9.5
10354,Sr1Fe1.816Co0.184As2,13.4,13.4
10355,Sr1Fe1.792Co0.208As2,13.9,13.9
10356,Sr1Fe1.766Co0.234As2,14.4,14.4
10357,Sr1Fe1.752Co0.248As2,13.2,13.2
10358,Sr1Fe1.732Co0.268As2,11.0,11.0
10359,Sr1Fe1.66Co0.34As2,5.56,5.56
10360,Sr1Fe1.76Co0.24As2,13.5,13.5
10361,Sr0.958Eu0.042Fe1.76Co0.24As2,13.3,13.3
10362,Sr0.85Eu0.15Fe1.76Co0.24As2,12.5,12.5
10363,Sr0.81Eu0.19Fe1.76Co0.24As2,12.0,12.0
10364,Sr0.66Eu0.34Fe1.76Co0.24As2,9.82,9.82
10365,Sr0.57Eu0.43Fe1.76Co0.24As2,8.78,8.78
10366,Sr0.5Eu0.5Fe1.76Co0.24As2,8.45,8.45
10367,Sr0.4Eu0.6Fe1.76Co0.24As2,7.97,7.97
10368,Sr0.28Eu0.72Fe1.76Co0.24As2,12.3,12.3
10369,Sr0.15Eu0.85Fe1.76Co0.24As2,2.0,2.0
10370,Sr0.05Eu0.95Fe1.76Co0.24As2,2.0,2.0
10371,Eu1Fe1.76Co0.24As2,2.0,2.0
10372,K0.68Fe1.79Se2,32.0,32.0
10373,Tl0.45K0.34Fe1.84Se2,28.0,28.0
10374,Yb1Ga1.15Si0.85,2.6,2.6
10375,Lu1Ni2B2C1,16.1,16.1175862068966
10376,Y1Ni2B2C1,15.5,15.1048936170213
10377,La3Ni2B2N2.7,12.5,12.5
10378,La2.95Ce0.05Ni2B2N2.7,10.2,10.2
10379,La2.9Ce0.1Ni2B2N2.7,4.9,4.9
10380,Y0.95Ce0.05Ni2B2C1,13.8,13.8
10381,Y0.9Ce0.1Ni2B2C1,11.9,11.9
10382,Ce1Ni2B2C1,0.1,0.1
10383,Fe1Te0.57Se0.43,15.0,15.0
10384,B12Li2.5,6.62,6.62
10385,B12Li1.7,7.05,7.05
10386,Cs0.8Fe2Se1.96,29.6,28.5
10387,Sr2Mg0.3Ti0.7Fe1As1O3,36.7,32.85
10388,Sr2Mg0.5Ti0.5Fe0.95Co0.05As1O3,26.2,24.1
10389,Si3W5,2.7,2.7
10390,Ce1Ge2Rh1,0.45,0.45
10391,Ce1Pt1Si2,0.14,0.14
10392,Tl1Fe1.7Se2,22.4,22.4
10393,Tl0.63K0.37Fe1.78Se2,28.4,28.4
10394,Tl0.75K0.25Fe1.84Se2,29.8,29.8
10395,Tl0.54K0.46Fe1.88Se2,30.4,30.4
10396,K0.82Fe1.63Se2,32.0,32.0
10397,Tl0.47Rb0.34Fe1.63Se2,32.0,32.0
10398,Ce0.875Yb0.125Co1In5,1.97,1.97
10399,Ce0.5Yb0.5Co1In5,1.19,1.19
10400,Ce0.95La0.05Co1In5,1.68,1.68
10401,Ce0.925La0.075Co1In5,1.31,1.31
10402,Ce0.9La0.1Co1In5,1.22,1.22
10403,Ce0.875La0.125Co1In5,0.86,0.86
10404,Ce0.85La0.15Co1In5,0.78,0.78
10405,Ga1P1,10.3,8.25
10406,Fe1Te1,3.0,3.0
10407,Nb5Si3,0.69,0.69
10408,Tl2Mo6Se6,2.6,4.96
10409,Pd0.5Bi2Te3,5.5,5.5
10410,Ba1Pb0.75Bi0.25O3,12.0,11.6142857142857
10411,Ba1Pb0.5Hg0.25Bi0.25O3,2.93,2.93
10412,Ba1Pb0.4Hg0.35Bi0.25O3,9.97,9.97
10413,Ce0.98Th0.02Pt3Si1,0.4,0.4
10414,La1Co1.4Fe0.6B2,4.0,4.0
10415,Ba2Ca2Cu3F1.2O6.8,120.0,120.0
10416,Ba2Ca2Cu3F1.6O6.4,102.0,102.0
10417,Ba2Ca2Cu3F1.8O6.2,81.0,81.0
10418,Cu0.05Zr1Te3,3.8,3.8
10419,Ce1Fe1As0.95P0.05F0.05O0.95,17.2,17.2
10420,Ce1Fe1As0.9P0.1F0.05O0.95,19.3,19.3
10421,Ce1Fe1As0.8P0.2F0.05O0.95,20.6,20.6
10422,Ce1Fe1As0.6P0.4F0.05O0.95,16.0,16.0
10423,Sr0.95Nd0.05Cu1O2,20.7,29.35
10424,Y0.95Ca0.05Ba2Cu2.8Zn0.2O6.74,3.5,3.5
10425,Y0.9Ca0.1Ba2Cu2.8Zn0.2O6.74,15.8,15.8
10426,Y0.85Ca0.15Ba2Cu2.8Zn0.2O6.74,34.6,34.6
10427,Y0.8Ca0.2Ba2Cu2.8Zn0.2O6.74,44.0,44.0
10428,La0.81Sm0.06Sr0.13Fe1As1O1,18.5,18.5
10429,La0.81Gd0.06Sr0.13Fe1As1O1,17.1,17.1
10430,La0.81Dy0.06Sr0.13Fe1As1O1,16.5,16.5
10431,Na0.9Fe1As1,18.0,12.5
10432,Ca4Al2Fe2As2O5.785,27.0,27.0
10433,Ca4Al2Fe2As2O5.65,26.8,26.8
10434,Ca4Al2Fe2P2O5.8,17.0,17.0
10435,Fe2As2Sr4Sc1.8Ti1.2O8,28.0,28.0
10436,Fe2As2Sr4Sc1.5Ti1.5O8,22.0,22.0
10437,Fe2As2Ba4Sc3O7.5,11.0,11.0
10438,Ba1Fe1.922Rh0.078As2,17.8,15.9
10439,Ba1Fe1.848Rh0.152As2,22.2,22.2
10440,Ba1Fe1.738Rh0.262As2,8.3,8.3
10441,Ba1Fe1.958Pd0.042As2,4.1,4.1
10442,Ba1Fe1.946Pd0.054As2,12.3,12.3
10443,Ba1Fe1.94Pd0.06As2,16.4,16.4
10444,Ba1Fe1.894Pd0.106As2,13.3,13.3
10445,Ba1Fe1.866Pd0.134As2,7.16,7.16
10446,Ba1Fe1.952Ni0.048As2,4.1,3.46333333333333
10447,Ba1Fe1.936Ni0.064As2,14.8,14.8333333333333
10448,Nd1.85Ce0.15Cu1O4,19.4,21.6185714285714
10449,Nb1C1N1,16.5,16.5166666666667
10450,Ag7H1F2O8,1.38,1.44
10451,Ag7N1O11,1.04,1.038125
10452,Ag7F1O8,0.3,0.3
10453,Ag7B1F4O8,0.15,0.15
10454,Zr55Co30Al15,2.4,2.4
10455,Co15Zr85,3.3,3.3
10456,Zr55Cu30Al10Ni5,2.7,2.7
10457,Zr55Cu25Nb5Al10Ni5,3.0,3.0
10458,K0.75Fe1.68Se2,31.0,31.0
10459,Cu0.4Bi2Se3,3.09,3.09
10460,Li2Pd2.85Pt0.15B1,6.4,6.4
10461,Li2Pd2.4Pt0.6B1,5.47,5.185
10462,Li2Pd1.5Pt1.5B1,4.36,3.99333333333333
10463,Li2Pd0.48Pt2.52B1,3.07,3.07
10464,Li2Pd0.3Pt2.7B1,3.37,3.37
10465,Ca1Ir1Si3,3.0,3.3
10466,K0.64Fe1.44Se2,31.0,31.0
10467,K0.73Fe1.44Se1.68S0.32,31.4,31.4
10468,K0.7Fe1.55Se1.01S0.99,21.4,21.4
10469,K0.76Fe1.61Se0.96S1.04,16.4,16.4
